species,n_pres,n_abs,AUC,TSS,FPB,Sorensen,Boyce
Abies bracteata,83,83,0.951,0.841,1.722,0.923,0.901
Abies concolor,6257,6889,0.899,0.69,1.474,0.848,0.957
Abies magnifica,2055,6265,0.928,0.784,1.345,0.802,0.803
Acanthomintha ilicifolia,92,92,0.92,0.734,1.557,0.874,0.849
Adenostoma sparsifolium,531,3348,0.874,0.737,1.427,0.769,0.813
Aesculus californica,3813,11045,0.956,0.809,1.345,0.801,0.957
Arctostaphylos glandulosa,756,6317,0.895,0.697,0.8,0.558,0.851
Arctostaphylos glauca,1406,11012,0.903,0.703,0.672,0.48,0.964
Arctostaphylos mewukka,101,101,0.913,0.76,1.583,0.883,0.841
Arctostaphylos pringlei,106,2414,0.989,0.979,1.402,0.793,0.738
Arctostaphylos rainbowensis,114,114,0.911,0.771,1.591,0.884,0.905
Arctostaphylos rudis,66,1000,0.984,0.968,1.637,0.898,0.894
Artemisia californica,3875,2048,0.787,0.461,1.341,0.802,0.93
Artemisia cana subsp bolanderi,22,22,0.762,0.591,1.299,0.785,0.996
Artemisia rothrockii,30,4045,0.697,0.466,0.106,0.099,0.988
Asclepias eriocarpa,431,11307,0.817,0.543,0.224,0.199,0.811
Asclepias fascicularis,1040,11251,0.858,0.601,0.5,0.39,0.919
Calocedrus decurrens,4854,8842,0.859,0.596,1.205,0.751,0.964
Calochortus albus,572,8035,0.851,0.615,0.493,0.391,0.734
Calochortus obispoensis,74,74,0.924,0.841,1.703,0.919,0.881
Calochortus pulchellus,76,76,0.928,0.784,1.639,0.9,0.841
Calochortus tiburonensis,50,50,0.989,0.871,1.76,0.936,0.96
Ceanothus perplexans,138,6639,0.976,0.939,1.127,0.696,0.703
Ceanothus megacarpus,659,3157,0.852,0.614,0.828,0.584,0.891
Ceanothus oliganthus,493,6304,0.861,0.643,0.511,0.381,0.883
Ceanothus tomentosus,165,6484,0.923,0.788,0.507,0.375,0.852
Ceanothus verrucosus,64,2431,0.881,0.746,0.706,0.505,0.972
Chamaebatia foliolosa,687,6737,0.936,0.792,0.882,0.607,0.925
Chorizanthe orcuttiana,19,19,0.963,0.75,1.667,0.893,0.998
Corylus cornuta subsp californica,97,97,0.831,0.555,1.338,0.799,0.788
Croton setiger,1081,11289,0.88,0.646,0.541,0.421,0.784
Deinandra conjugens,81,81,0.988,0.95,1.91,0.975,0.978
Delphinium hesperium,142,11319,0.913,0.77,0.13,0.122,0.96
Dichelostemma capitatum,2779,10459,0.879,0.622,0.898,0.619,0.954
Encelia californica,1190,2950,0.841,0.627,1.047,0.674,0.632
Ericameria ericoides,172,7481,0.906,0.768,0.763,0.505,0.877
Erigeron petrophilus,83,8694,0.681,0.436,0.07,0.066,0.987
Eriodictyon trichocalyx,198,7480,0.904,0.752,0.328,0.269,0.638
Eriogonum fasciculatum,4235,9646,0.925,0.755,1.359,0.807,0.936
Eryngium aristulatum,67,67,0.699,0.31,1.132,0.721,0.79
Frangula californica,955,11303,0.881,0.663,0.551,0.43,0.857
Galium angustifolium,928,3325,0.769,0.478,0.883,0.589,0.613
Hazardia squarrosa,1054,2925,0.668,0.33,0.753,0.539,0.684
Hesperocyparis forbesii,93,93,0.628,0.322,1.176,0.736,0.68
Hesperocyparis sargentii,176,176,0.827,0.557,1.359,0.804,0.751
Hesperocyparis stephensonii,30,30,0.725,0.315,1.179,0.739,0.862
Hesperoyucca whipplei,3309,6635,0.829,0.556,1.064,0.691,0.919
Heteromeles arbutifolia,4293,10022,0.893,0.688,1.194,0.747,0.916
Juglans californica,874,7321,0.852,0.634,0.417,0.335,0.709
Juncus balticus,284,11296,0.831,0.567,0.167,0.152,0.925
Keckiella antirrhinoides,257,3442,0.902,0.746,0.932,0.605,0.67
Lepechinia calycina,278,11281,0.909,0.752,0.357,0.294,0.774
Lonicera subspicata,601,7546,0.755,0.467,0.366,0.298,0.778
Lupinus arboreus,116,6449,0.938,0.826,0.399,0.319,0.883
Lupinus tidestromii,29,29,0.874,0.706,1.479,0.85,0.979
Malosma laurina,2998,2250,0.88,0.71,1.566,0.878,0.708
Mimulus cardinalis,135,135,0.742,0.335,1.202,0.749,0.686
Minuartia obtusiloba,16,16,0.975,0.4,1.367,0.793,0.999
Muhlenbergia rigens,294,11304,0.883,0.673,0.201,0.182,0.837
Opuntia littoralis,691,2218,0.815,0.564,1.1,0.688,0.93
Phacelia insularis,23,23,0.977,0.912,1.838,0.958,0.906
Picea breweriana,131,2931,0.843,0.648,0.328,0.28,0.82
Pickeringia montana,274,10699,0.871,0.685,0.43,0.333,0.799
Pinus attenuata,321,10431,0.832,0.61,0.255,0.225,0.966
Pinus balfouriana,527,6690,0.965,0.889,1.093,0.696,0.888
Pinus coulteri,1258,3350,0.873,0.713,1.374,0.799,0.67
Pinus jeffreyi,3585,9560,0.858,0.615,1.096,0.702,0.918
Pinus lambertiana,4307,8786,0.871,0.623,1.176,0.738,0.936
Pinus muricata,267,6429,0.919,0.771,0.698,0.515,0.943
Pinus ponderosa,3931,9679,0.892,0.679,1.191,0.746,0.968
Pinus quadrifolia,61,2428,0.986,0.954,0.926,0.628,0.88
Pinus sabiniana,3103,10668,0.929,0.791,1.272,0.773,0.97
