sp,model,year,scen,rcp,change_driver,current_cells,nd_future_cells,current_km2,nd_future_km2,nd_change_prop,exposure
Abies bracteata,meanthr,2085,cnrm,rcp45,climate_change,17058.42013,11855.70297,1243.558827,864.2807466,-0.30499408,0.30499408
Abies bracteata,meanthr,2085,hades,rcp45,climate_change,17058.42013,11046.72732,1243.558827,805.3064217,-0.352417912,0.352417912
Abies bracteata,meanthr,2085,cnrm,rcp85,climate_change,17058.42013,9685.868184,1243.558827,706.0997906,-0.4321943,0.4321943
Abies bracteata,meanthr,2085,hades,rcp85,climate_change,17058.42013,17928.80625,1243.558827,1307.009976,0.051023841,-0.051023841
Abies bracteata,meanthr,2085,cnrm,rcp45,climate_change + lulc,17044.41427,11805.07865,1242.537801,860.5902333,-0.307393117,0.307393117
Abies bracteata,meanthr,2085,hades,rcp45,climate_change + lulc,17044.41427,11016.24729,1242.537801,803.0844274,-0.353674048,0.353674048
Abies bracteata,meanthr,2085,cnrm,rcp85,climate_change + lulc,17044.41427,9639.338016,1242.537801,702.7077414,-0.434457655,0.434457655
Abies bracteata,meanthr,2085,hades,rcp85,climate_change + lulc,17044.41427,17878.75362,1242.537801,1303.361139,0.048950895,-0.048950895
Abies bracteata,meanthr,2085,hades,rcp45,lulc,17058.42013,17029.86797,1243.558827,1241.477375,-0.001673786,0.001673786
Abies bracteata,meanthr,2085,hades,rcp85,lulc,17058.42013,17026.0602,1243.558827,1241.199788,-0.001897006,0.001897006
Abies magnifica,meanthr,2085,cnrm,rcp45,climate_change,186670,209049.8332,13608.243,15239.73284,0.119889823,-0.119889823
Abies magnifica,meanthr,2085,hades,rcp45,climate_change,186670,176409.5829,13608.243,12860.2586,-0.054965538,0.054965538
Abies magnifica,meanthr,2085,cnrm,rcp85,climate_change,186670,135390.4507,13608.243,9869.963854,-0.274706966,0.274706966
Abies magnifica,meanthr,2085,hades,rcp85,climate_change,186670,105528.2686,13608.243,7693.010784,-0.434680084,0.434680084
Abies magnifica,meanthr,2085,cnrm,rcp45,climate_change + lulc,186670,208714.165,13608.243,15215.26263,0.118091632,-0.118091632
Abies magnifica,meanthr,2085,hades,rcp45,climate_change + lulc,186670,176160.43,13608.243,12842.09535,-0.056300262,0.056300262
Abies magnifica,meanthr,2085,cnrm,rcp85,climate_change + lulc,186670,134889.278,13608.243,9833.428364,-0.277391772,0.277391772
Abies magnifica,meanthr,2085,hades,rcp85,climate_change + lulc,186670,105188.9691,13608.243,7668.275845,-0.436497728,0.436497728
Abies magnifica,meanthr,2085,hades,rcp45,lulc,186670,186381.5722,13608.243,13587.21661,-0.001545121,0.001545121
Abies magnifica,meanthr,2085,hades,rcp85,lulc,186670,186045.6105,13608.243,13562.72501,-0.003344884,0.003344884
Acanthomintha ilicifolia,meanthr,2085,cnrm,rcp45,climate_change,14480.94915,8689.694675,1055.661193,633.4787418,-0.399922299,0.399922299
Acanthomintha ilicifolia,meanthr,2085,hades,rcp45,climate_change,14480.94915,6084.742363,1055.661193,443.5777183,-0.579810529,0.579810529
Acanthomintha ilicifolia,meanthr,2085,cnrm,rcp85,climate_change,14480.94915,3473.724599,1055.661193,253.2345232,-0.760117616,0.760117616
Acanthomintha ilicifolia,meanthr,2085,hades,rcp85,climate_change,14480.94915,2007.271414,1055.661193,146.3300861,-0.86138537,0.86138537
Acanthomintha ilicifolia,meanthr,2085,cnrm,rcp45,climate_change + lulc,11663.10105,6072.020555,850.2400663,442.6502985,-0.479381982,0.479381982
Acanthomintha ilicifolia,meanthr,2085,hades,rcp45,climate_change + lulc,11663.10105,4276.408788,850.2400663,311.7502006,-0.633338615,0.633338615
Acanthomintha ilicifolia,meanthr,2085,cnrm,rcp85,climate_change + lulc,11663.10105,2033.964299,850.2400663,148.2759974,-0.825606904,0.825606904
Acanthomintha ilicifolia,meanthr,2085,hades,rcp85,climate_change + lulc,11663.10105,1312.793391,850.2400663,95.70263817,-0.887440451,0.887440451
Acanthomintha ilicifolia,meanthr,2085,hades,rcp45,lulc,14480.94915,11966.10845,1055.661193,872.3293061,-0.17366546,0.17366546
Acanthomintha ilicifolia,meanthr,2085,hades,rcp85,lulc,14480.94915,10335.05172,1055.661193,753.4252705,-0.286300116,0.286300116
Adenostoma sparsifolium,meanthr,2085,cnrm,rcp45,climate_change,44719.1502,31889.22265,3260.02605,2324.724331,-0.286900075,0.286900075
Adenostoma sparsifolium,meanthr,2085,hades,rcp45,climate_change,44719.1502,26288.81551,3260.02605,1916.45465,-0.412135173,0.412135173
Adenostoma sparsifolium,meanthr,2085,cnrm,rcp85,climate_change,44719.1502,29366.44194,3260.02605,2140.813617,-0.343313954,0.343313954
Adenostoma sparsifolium,meanthr,2085,hades,rcp85,climate_change,44719.1502,21926.94264,3260.02605,1598.474119,-0.509674434,0.509674434
Adenostoma sparsifolium,meanthr,2085,cnrm,rcp45,climate_change + lulc,44719.1502,30894.39026,3260.02605,2252.20105,-0.309146303,0.309146303
Adenostoma sparsifolium,meanthr,2085,hades,rcp45,climate_change + lulc,44719.1502,25501.40508,3260.02605,1859.052431,-0.429743075,0.429743075
Adenostoma sparsifolium,meanthr,2085,cnrm,rcp85,climate_change + lulc,44719.1502,27640.75709,3260.02605,2015.011192,-0.381903347,0.381903347
Adenostoma sparsifolium,meanthr,2085,hades,rcp85,climate_change + lulc,44719.1502,19838.03613,3260.02605,1446.192834,-0.556386111,0.556386111
Adenostoma sparsifolium,meanthr,2085,hades,rcp45,lulc,44719.1502,42864.0386,3260.02605,3124.788414,-0.041483606,0.041483606
Adenostoma sparsifolium,meanthr,2085,hades,rcp85,lulc,44719.1502,40193.56816,3260.02605,2930.111119,-0.10120009,0.10120009
Aesculus californica,meanthr,2085,cnrm,rcp45,climate_change,325425.1811,185379.8713,23723.4957,13514.19262,-0.430345646,0.430345646
Aesculus californica,meanthr,2085,hades,rcp45,climate_change,325425.1811,163040.1298,23723.4957,11885.62546,-0.498993504,0.498993504
Aesculus californica,meanthr,2085,cnrm,rcp85,climate_change,325425.1811,129250.4872,23723.4957,9422.360514,-0.602825796,0.602825796
Aesculus californica,meanthr,2085,hades,rcp85,climate_change,325425.1811,68821.73919,23723.4957,5017.104787,-0.788517474,0.788517474
Aesculus californica,meanthr,2085,cnrm,rcp45,climate_change + lulc,325425.1811,173852.1359,23723.4957,12673.8207,-0.465769258,0.465769258
Aesculus californica,meanthr,2085,hades,rcp45,climate_change + lulc,325425.1811,154169.1019,23723.4957,11238.92753,-0.526253312,0.526253312
Aesculus californica,meanthr,2085,cnrm,rcp85,climate_change + lulc,325425.1811,114125.6206,23723.4957,8319.757742,-0.649303043,0.649303043
Aesculus californica,meanthr,2085,hades,rcp85,climate_change + lulc,325425.1811,61943.78796,23723.4957,4515.702143,-0.809652751,0.809652751
Aesculus californica,meanthr,2085,hades,rcp45,lulc,325425.1811,300821.0079,23723.4957,21929.85148,-0.075606236,0.075606236
Aesculus californica,meanthr,2085,hades,rcp85,lulc,325425.1811,280072.3688,23723.4957,20417.27568,-0.139364791,0.139364791
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp45,climate_change,185441.2782,177009.8225,13518.66918,12904.01606,-0.045466985,0.045466985
Arctostaphylos glandulosa,meanthr,2085,hades,rcp45,climate_change,185441.2782,159549.3349,13518.66918,11631.14651,-0.139623409,0.139623409
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp85,climate_change,185441.2782,232132.2717,13518.66918,16922.44261,0.251783173,-0.251783173
Arctostaphylos glandulosa,meanthr,2085,hades,rcp85,climate_change,185441.2782,191051.1918,13518.66918,13927.63188,0.030251698,-0.030251698
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp45,climate_change + lulc,185441.2782,168818.717,13518.66918,12306.88447,-0.08963787,0.08963787
Arctostaphylos glandulosa,meanthr,2085,hades,rcp45,climate_change + lulc,185441.2782,153240.7199,13518.66918,11171.24848,-0.173642884,0.173642884
Arctostaphylos glandulosa,meanthr,2085,cnrm,rcp85,climate_change + lulc,185441.2782,207292.1802,13518.66918,15111.59993,0.11783192,-0.11783192
Arctostaphylos glandulosa,meanthr,2085,hades,rcp85,climate_change + lulc,185441.2782,174898.712,13518.66918,12750.11611,-0.056851238,0.056851238
Arctostaphylos glandulosa,meanthr,2085,hades,rcp45,lulc,185441.2782,177578.799,13518.66918,12945.49445,-0.042398755,0.042398755
Arctostaphylos glandulosa,meanthr,2085,hades,rcp85,lulc,185441.2782,167538.6697,13518.66918,12213.56902,-0.09654058,0.09654058
Arctostaphylos glauca,meanthr,2085,cnrm,rcp45,climate_change,269517.4233,174503.5267,19647.82016,12721.30709,-0.352533411,0.352533411
Arctostaphylos glauca,meanthr,2085,hades,rcp45,climate_change,269517.4233,158777.1254,19647.82016,11574.85244,-0.410883633,0.410883633
Arctostaphylos glauca,meanthr,2085,cnrm,rcp85,climate_change,269517.4233,91816.89427,19647.82016,6693.451592,-0.659328539,0.659328539
Arctostaphylos glauca,meanthr,2085,hades,rcp85,climate_change,269517.4233,86292.84452,19647.82016,6290.748365,-0.679824616,0.679824616
Arctostaphylos glauca,meanthr,2085,cnrm,rcp45,climate_change + lulc,269517.4233,169424.1836,19647.82016,12351.02299,-0.371379477,0.371379477
Arctostaphylos glauca,meanthr,2085,hades,rcp45,climate_change + lulc,269517.4233,155356.2282,19647.82016,11325.46904,-0.423576308,0.423576308
Arctostaphylos glauca,meanthr,2085,cnrm,rcp85,climate_change + lulc,269517.4233,86743.23786,19647.82016,6323.58204,-0.678153506,0.678153506
Arctostaphylos glauca,meanthr,2085,hades,rcp85,climate_change + lulc,269517.4233,83482.98723,19647.82016,6085.909769,-0.690250128,0.690250128
Arctostaphylos glauca,meanthr,2085,hades,rcp45,lulc,269517.4233,254261.1405,19647.82016,18535.63714,-0.056605924,0.056605924
Arctostaphylos glauca,meanthr,2085,hades,rcp85,lulc,269517.4233,242110.2578,19647.82016,17649.83779,-0.101689773,0.101689773
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp45,climate_change,225684.3268,234282.7546,16452.38742,17079.21281,0.038099358,-0.038099358
Arctostaphylos mewukka,meanthr,2085,hades,rcp45,climate_change,225684.3268,190658.3882,16452.38742,13898.9965,-0.155198808,0.155198808
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp85,climate_change,225684.3268,211257.3144,16452.38742,15400.65822,-0.063925628,0.063925628
Arctostaphylos mewukka,meanthr,2085,hades,rcp85,climate_change,225684.3268,189772.6659,16452.38742,13834.42734,-0.159123416,0.159123416
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp45,climate_change + lulc,216492.9474,220271.9654,15782.33587,16057.82628,0.017455617,-0.017455617
Arctostaphylos mewukka,meanthr,2085,hades,rcp45,climate_change + lulc,216492.9474,181050.2554,15782.33587,13198.56362,-0.163712918,0.163712918
Arctostaphylos mewukka,meanthr,2085,cnrm,rcp85,climate_change + lulc,216492.9474,193539.973,15782.33587,14109.06403,-0.106021812,0.106021812
Arctostaphylos mewukka,meanthr,2085,hades,rcp85,climate_change + lulc,216492.9474,178955.6218,15782.33587,13045.86483,-0.173388215,0.173388215
Arctostaphylos mewukka,meanthr,2085,hades,rcp45,lulc,225684.3268,218532.2499,16452.38742,15931.00101,-0.031690623,0.031690623
Arctostaphylos mewukka,meanthr,2085,hades,rcp85,lulc,225684.3268,213029.0494,16452.38742,15529.8177,-0.056075127,0.056075127
Arctostaphylos pringlei,meanthr,2085,cnrm,rcp45,climate_change,22007.57163,15649.35206,1604.351972,1140.837765,-0.288910548,0.288910548
Arctostaphylos pringlei,meanthr,2085,hades,rcp45,climate_change,22007.57163,12457.82726,1604.351972,908.1756076,-0.433929946,0.433929946
Arctostaphylos pringlei,meanthr,2085,cnrm,rcp85,climate_change,22007.57163,1637.07183,1604.351972,119.3425364,-0.925613245,0.925613245
Arctostaphylos pringlei,meanthr,2085,hades,rcp85,climate_change,22007.57163,9316.015997,1604.351972,679.1375662,-0.576690416,0.576690416
Arctostaphylos pringlei,meanthr,2085,cnrm,rcp45,climate_change + lulc,22007.57163,15339.27632,1604.351972,1118.233244,-0.30300005,0.30300005
Arctostaphylos pringlei,meanthr,2085,hades,rcp45,climate_change + lulc,22007.57163,12257.58074,1604.351972,893.5776358,-0.443028929,0.443028929
