species,abundance,extent,niche_breadth,range_size,habitat,abun_meas,rabin_class,mean_topo,mean_d_coast,mean_elev,num_patches,patch_isolation,occupied_area,rcp,change_driver,year,current_cells,nd_future_cells,current_km2,nd_future_km2,nd_change_prop,exposure,log10_patch_isolation,log10_num_patches,ext_res,abun_res,niche_res,nump_res,iso_res,topo_res,elev_res,dc_res,OTU,Genus,Species
Chorizanthe orcuttiana,29.52744955,217.6024895,2.644866905,n,r,s,n-r-s,0.220633966,2.54718453,78.3880032,85,1179.913309,65.9016,rcp45,climate_change,2085,1264.36907787651,1136.56570107687,92.1725057771974,82.8556396085039,-0.101080751685482,0.101080751685482,3.07185009984342,1.92941892571429,-2.37777785861196,-2.34965716250049,-2.25010127582892,-2.716090325314,-2.9968602642526,-2.62030401365222,-1.67420595067772,-2.36483959530254,Eriogonoideae_Eriogonum+,Chorizanthe,orcuttiana
Calochortus tiburonensis,22.85897402,282.6376439,5.455491881,n,b,s,n-b-s,0.421755052,2.636530386,157.3338602,76,897.5365776,832.0077,rcp45,climate_change,2085,7899.95150317041,9512.55755256171,575.906464581123,693.465445581749,0.204128601136871,-0.204128601136871,2.95305215655525,1.88081359228079,-1.60603320045934,-1.48897044433462,-2.13026007173855,-1.74067225399065,-1.68240192200536,-1.81495332659657,-1.30206376663417,-1.61393107361975,Calochortus_Bay_Area+Pacific_NW,Calochortus,tiburonensis
Calochortus obispoensis,21.58444034,464.8235679,3.36630083,n,r,s,n-r-s,0.415286496,11.5327862,278.6667622,9,547.0820393,985.4622,rcp45,climate_change,2085,8723.78937824951,1407.58029872645,635.964245674389,102.612603777158,-0.838650357350915,0.838650357350915,2.73805245712633,0.954242509439325,0.798937392247359,0.653277529893937,0.521170373894324,0.821425413087717,0.416850847200979,0.30847054492721,0.518137168372854,0.385723252609654,Calochortus_San_Diego,Calochortus,obispoensis
Deinandra conjugens,37.55760227,484.0647784,2.502119093,n,r,s,n-r-s,0.249827443,13.00032757,163.9322488,224,777.194868,570.078,rcp45,climate_change,2085,4656.15338219925,4010.19833577031,339.433581562325,292.343458677656,-0.138731479271809,0.138731479271809,2.89052992418889,2.35024801833416,-0.887430943590785,-0.917330806684157,-0.82010648551623,-1.09804017158522,-1.02339645070355,-0.834032003926214,-0.866151133940013,-1.07572850194176,Deinandra,Deinandra,conjugens
Arctostaphylos rudis,53.30377997,553.6718223,1.12757608,n,r,s,n-r-s,0.143534825,12.85293535,126.1634426,29,843.576827,578.1699,rcp45,climate_change,2085,4806.57321316508,3516.48726103946,350.399187239734,256.351921329776,-0.268400354038529,0.268400354038529,2.92612464119043,1.46239799789896,-1.58713844048493,-1.65590046288237,-1.26213218889417,-1.65171358676539,-1.94525014224996,-1.49632852031674,-1.32285238470814,-1.76527379078815,Arctostaphylos,Arctostaphylos,rudis
Ceanothus verrucosus,54.47641232,1162.55165,3.466187561,n,r,s,n-r-s,0.309525438,9.019009412,134.9505571,26,601.2185178,1386.1206,rcp45,climate_change,2085,5325.46761297198,3424.9622358701,388.226588985658,249.67974699493,-0.356871079728767,0.356871079728767,2.7790323485857,1.41497334797082,-0.989267887889446,-1.08685857900368,-1.2396582869318,-0.951077418354766,-1.17897741274519,-1.21603546210822,-0.951946871214483,-1.19936381509191,Ceanothus_Cerastes,Ceanothus,verrucosus
Lupinus tidestromii,112.7645786,2894.221927,6.530743224,n,b,s,n-b-s,0.189230248,2.932030266,55.8679959,469,688.6091485,5455.5444,rcp45,climate_change,2085,32939.6180156618,28463.9171913727,2401.29815334174,2075.01956325107,-0.135875917630893,0.135875917630893,2.8379727882157,2.67117284271508,-2.28215190796577,-2.65764150544334,-4.11277150241024,-3.40204180761801,-2.54159481980694,-2.36369443879742,-1.60866618436935,-2.26577115453189,Lupinus_petioled,Lupinus,tidestromii
Poa stebbinsii,103.8312915,4705.313037,5.320721455,n,b,s,n-b-s,0.450381419,243.5365193,3121.361288,5,773.5259873,3530.1825,rcp45,climate_change,2085,13767.7914507091,10419.7012728681,1003.67199675669,759.596222792084,-0.243182807484245,0.243182807484245,2.8884749087935,0.698970004336019,-0.5581684239238,-0.712435984502637,-1.03751395397385,-0.412176791606356,-0.738541194405926,-0.907268897485582,-0.619387827501256,-1.37384853382989,Dissanthelium+Poa,Poa,stebbinsii
Acanthomintha ilicifolia,66.63600769,5622.993351,3.027907378,n,r,s,n-r-s,0.333392874,23.51181094,336.226532,370,1038.125415,2023.1208,rcp45,climate_change,2085,14480.9491451058,7387.21851887953,1055.66119267822,538.528230026318,-0.489866413806432,0.489866413806432,3.01624982340864,2.568201724067,-0.226551917596055,-0.379702721256104,-0.330998567894007,-0.500887369456025,-0.550114231288008,-0.448107698953497,-0.461850955473976,-0.541721145074956,Acanthomintha,Acanthomintha,ilicifolia
Abies bracteata,175.6569198,5902.718186,3.510583947,n,r,s,n-r-s,0.779357229,8.527995095,889.8526938,7,924.5788489,1572.2343,rcp45,climate_change,2085,17058.4201275408,11451.2151460871,1243.55882729773,834.79358414975,-0.328705996190168,0.328705996190168,2.96594395409116,0.845098040014257,1.07417123983671,0.921012444500386,1.12460354196052,0.87704201331949,0.909869337026214,0.319504763459126,0.903885272677863,0.792566720870104,Abies_1,Abies,bracteata
