species,extent,niche_breadth,mean_topo,mean_d_coast,mean_elev,num_patches,patch_isolation
Chorizanthe orcuttiana,217.6024895,2.644866905,0.220633966,2.54718453,78.3880032,85,1179.913309
Calochortus tiburonensis,282.6376439,5.455491881,0.421755052,2.636530386,157.3338602,76,897.5365776
Calochortus obispoensis,464.8235679,3.36630083,0.415286496,11.5327862,278.6667622,9,547.0820393
Deinandra conjugens,484.0647784,2.502119093,0.249827443,13.00032757,163.9322488,224,777.194868
Arctostaphylos rudis,553.6718223,1.12757608,0.143534825,12.85293535,126.1634426,29,843.576827
Ceanothus verrucosus,1162.55165,3.466187561,0.309525438,9.019009412,134.9505571,26,601.2185178
Arctostaphylos rainbowensis,2229.782873,4.201432558,0.404749438,30.53255683,450.4545051,88,870.3237678
Lupinus tidestromii,2894.221927,6.530743224,0.189230248,2.932030266,55.8679959,469,688.6091485
Poa stebbinsii,4705.313037,5.320721455,0.450381419,243.5365193,3121.361288,5,773.5259873
Ptilagrostis kingii,5054.778628,6.299827492,0.392689114,247.017352,3044.039799,5,972.4208666
Acanthomintha ilicifolia,5622.993351,3.027907378,0.333392874,23.51181094,336.226532,370,1038.125415
Calochortus pulchellus,5824.433001,5.403180594,0.310458099,33.15688223,214.7632965,337,966.3070013
Abies bracteata,5902.718186,3.510583947,0.779357229,8.527995095,889.8526938,7,924.5788489
Artemisia rothrockii,6505.640275,5.9140226,0.370171875,243.7378828,2894.217746,16,5954.776324
Picea breweriana,7928.676401,4.762263261,0.78320787,61.25425254,1559.860214,26,2797.975596
Hesperocyparis stephensonii,8241.368121,6.011690075,0.572964754,50.22598451,1099.855195,702,894.7990824
Minuartia obtusiloba,8416.598066,6.227666337,0.639750047,251.9235678,3221.565323,2,9011.692405
Phacelia insularis,8617.541566,6.732365124,0.207518695,1.184818927,45.97204869,9,56168.96454
Arctostaphylos pringlei,8770.04419,2.426003418,0.55370301,82.82152968,1671.284197,27,3189.081037
